CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2013-12-31;1;BCO BRASIL S.A.;001023;DFP;34513;2014-02-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34513
00.000.000/0001-91;2013-12-31;2;BCO BRASIL S.A.;001023;DFP;34667;2014-02-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34667
00.000.000/0001-91;2013-12-31;3;BCO BRASIL S.A.;001023;DFP;35587;2014-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35587
00.000.000/0001-91;2013-12-31;4;BCO BRASIL S.A.;001023;DFP;41430;2014-09-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=41430
00.000.208/0001-00;2013-12-31;1;BRB BANCO DE BRASILIA S.A.;014206;DFP;34871;2014-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34871
00.000.208/0001-00;2013-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;DFP;35761;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35761
00.001.180/0001-26;2013-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;35698;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35698
00.001.180/0001-26;2013-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;36071;2014-04-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=36071
00.070.698/0001-11;2013-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DFP;36432;2014-04-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=36432
00.108.786/0001-65;2013-12-31;1;NET SERVIÇOS DE COMUNICAÇÃO S.A.;014621;DFP;35334;2014-03-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35334
00.115.890/0001-87;2013-12-31;1;SHOPPING CENTER TACARUNA SA;015733;DFP;35792;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35792
00.192.769/0001-59;2013-12-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;DFP;35759;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35759
00.192.769/0001-59;2013-12-31;2;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;DFP;50036;2015-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=50036
00.272.185/0001-93;2013-12-31;1;CIMS S.A.;014818;DFP;35455;2014-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35455
00.336.701/0001-04;2013-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;DFP;36032;2014-04-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=36032
00.354.053/0001-00;2013-12-31;1;KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL;015083;DFP;35708;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35708
00.359.742/0001-08;2013-12-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;DFP;35757;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35757
00.383.281/0001-09;2013-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;DFP;34953;2014-02-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34953
00.514.998/0001-42;2013-12-31;1;ELETRON S.A.;016209;DFP;35033;2014-03-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35033
00.545.378/0001-70;2013-12-31;1;SERRA AZUL WATER PARK SA;014966;DFP;36659;2014-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=36659
00.622.416/0001-41;2013-12-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;DFP;36973;2014-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=36973
00.644.907/0001-93;2013-12-31;1;INVESTCO S.A.;018589;DFP;34881;2014-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34881
00.649.881/0001-76;2013-12-31;1;GTD PARTICIPACOES SA;014915;DFP;34390;2014-02-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34390
00.649.881/0001-76;2013-12-31;2;GTD PARTICIPACOES SA;014915;DFP;34391;2014-02-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34391
00.649.881/0001-76;2013-12-31;3;GTD PARTICIPACOES SA;014915;DFP;40315;2014-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=40315
00.743.065/0001-27;2013-12-31;1;LITEL PARTICIPACOES S.A.;015091;DFP;35928;2014-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35928
00.776.574/0001-56;2013-12-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;020990;DFP;35148;2014-03-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35148
00.776.574/0001-56;2013-12-31;2;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;020990;DFP;35307;2014-03-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35307
00.861.626/0001-92;2013-12-31;1;CONC RODOVIA PRES. DUTRA S.A.;019577;DFP;35152;2014-03-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35152
00.864.214/0001-06;2013-12-31;1;ENERGISA S.A.;015253;DFP;35285;2014-03-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35285
00.866.577/0001-80;2013-12-31;1;SAUIPE SA;015261;DFP;35718;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35718
00.866.577/0001-80;2013-12-31;2;SAUIPE SA;015261;DFP;35745;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35745
00.866.577/0001-80;2013-12-31;3;SAUIPE SA;015261;DFP;35779;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35779
00.897.864/0001-58;2013-12-31;1;SANTA CATARINA PART INVEST SA;015199;DFP;35920;2014-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35920
00.924.429/0001-75;2013-12-31;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;DFP;35476;2014-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35476
00.924.432/0001-99;2013-12-31;1;HOPI HARI SA;015377;DFP;43013;2014-12-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43013
00.938.574/0001-05;2013-12-31;1;CONC RIO-TERESOPOLIS S.A.;019208;DFP;34861;2014-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34861
00.979.969/0001-56;2013-12-31;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;DFP;34252;2014-01-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34252
00.994.533/0001-36;2013-12-31;1;COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO;015652;DFP;35994;2014-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35994
00.994.533/0001-36;2013-12-31;2;COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO;015652;DFP;59479;2016-09-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=59479
01.027.058/0001-91;2013-12-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;DFP;34213;2014-01-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=34213
01.083.200/0001-18;2013-12-31;1;NEOENERGIA S.A.;015539;DFP;35473;2014-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35473
01.104.937/0001-70;2013-12-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;DFP;35654;2014-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35654
01.258.943/0001-81;2013-12-31;1;ITAITINGA PARTICIPACOES S.A.;015865;DFP;35821;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35821
01.258.944/0001-26;2013-12-31;1;RUMO MALHA SUL S.A.;015709;DFP;35663;2014-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35663
01.258.944/0001-26;2013-12-31;2;RUMO MALHA SUL S.A.;015709;DFP;35998;2014-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35998
01.258.945/0001-70;2013-12-31;1;GRUCAI PARTICIPACOES S.A.;015695;DFP;35817;2014-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=35817
